N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"79,100",100,-0.13%,100,"4,722,098","5,969,783",53.22,"8,326,363",18.99,9.99,
2,SK하이닉스,"113,500",500,-0.44%,"5,000","826,283","728,002",48.45,"1,804,406",16.21,9.53,
3,NAVER,"442,000",0,0.00%,100,"726,044","164,263",56.64,"331,664",4.50,15.22,
4,카카오,"148,500",500,+0.34%,100,"660,023","444,460",31.86,"1,053,977",216.16,2.70,
5,삼성바이오로직스,"914,000","8,000",+0.88%,"2,500","604,748","66,165",10.32,"45,112",227.93,N/A,
6,삼성전자우,"72,500",100,+0.14%,100,"596,593","822,887",75.66,"296,635",17.41,N/A,
7,LG화학,"834,000","1,000",-0.12%,"5,000","588,740","70,592",47.04,"85,357",36.31,2.93,
8,삼성SDI,"764,000","5,000",+0.66%,"5,000","525,361","68,765",43.47,"120,170",74.84,4.54,
9,현대차,"223,000",500,+0.22%,"5,000","476,480","213,668",28.93,"269,780",26.99,2.04,
10,셀트리온,"263,500","2,000",+0.76%,"1,000","363,410","137,917",20.39,"122,605",60.45,16.68,
11,기아,"86,600",500,+0.58%,"5,000","351,045","405,363",33.26,"702,351",15.56,5.05,
12,POSCO,"359,500","8,000",-2.18%,"5,000","313,437","87,187",54.46,"289,279",14.05,3.61,
13,LG전자,"165,500","1,500",+0.91%,"5,000","270,837","163,648",31.87,"362,918",15.42,13.23,
14,삼성물산,"144,000","1,500",+1.05%,100,"269,117","186,887",15.00,"414,956",17.15,3.81,
15,현대모비스,"273,500","1,000",+0.37%,"5,000","259,259","94,793",35.72,"107,421",14.60,4.66,
16,SK이노베이션,"259,000","1,500",-0.58%,"5,000","239,486","92,466",23.06,"171,919",-24.49,-13.58,
17,LG생활건강,"1,488,000","7,000",-0.47%,"5,000","232,399","15,618",45.69,"20,252",32.07,17.92,
18,SK텔레콤,"312,000","1,000",+0.32%,500,"224,828","72,060",46.59,"97,499",14.37,6.44,
19,KB금융,"52,900",400,+0.76%,"5,000","219,962","415,808",67.28,"625,930",5.50,8.53,
20,신한지주,"40,000",300,+0.76%,"5,000","206,640","516,600",60.09,"1,216,536",5.61,8.20,
21,SK,"273,500",0,0.00%,200,"192,435","70,360",20.16,"48,366",31.85,1.11,
22,엔씨소프트,"832,000","23,000",+2.84%,500,"182,657","21,954",51.39,"67,110",38.63,20.83,
23,HMM,"41,050",850,-2.03%,"5,000","166,414","405,392",9.60,"1,779,566",38.91,8.93,
24,한국전력,"25,100",150,+0.60%,"5,000","161,133","641,964",15.26,"588,836",7.84,2.91,
25,SK아이이테크놀로지,"225,500","4,000",-1.74%,"1,000","160,776","71,298",7.79,"228,446",N/A,11.00,
26,삼성생명,"76,400",300,+0.39%,500,"152,800","200,000",13.12,"98,537",7.19,3.53,
27,LG,"96,700",800,+0.83%,"5,000","152,110","157,301",33.23,"86,222",8.87,7.50,
28,삼성전기,"192,500","4,500",+2.39%,"5,000","143,785","74,694",31.82,"839,491",21.18,10.92,
29,삼성에스디에스,"184,000","1,500",+0.82%,500,"142,375","77,378",11.77,"51,753",22.62,6.71,
30,하나금융지주,"44,850",100,+0.22%,"5,000","134,659","300,242",67.80,"550,302",4.78,8.96,
31,아모레퍼시픽,"228,500","8,000",-3.38%,500,"133,578","58,458",33.62,"219,233",159.90,0.78,
32,SK바이오사이언스,"166,500",500,+0.30%,500,"127,372","76,500",3.86,"269,546",129.37,13.25,
33,넷마블,"141,500","2,000",+1.43%,100,"121,624","85,954",22.78,"141,118",38.49,6.35,
34,포스코케미칼,"155,500","2,500",+1.63%,500,"120,455","77,463",7.85,"133,844",186.90,2.96,
35,하이브,"299,000",0,0.00%,500,"116,618","39,003",16.26,"99,765",106.37,12.52,
36,두산중공업,"22,650",100,+0.44%,"5,000","115,852","511,490",5.22,"2,167,961",-12.72,-37.20,
37,S-Oil,"101,000",0,0.00%,"2,500","113,709","112,583",77.82,"124,071",27.44,-13.07,
38,KT&G,"82,800",200,+0.24%,"5,000","113,678","137,292",37.33,"113,491",9.87,13.22,
39,대한항공,"30,200",50,+0.17%,"5,000","105,042","347,821",10.86,"452,106",12.91,-7.22,
40,삼성화재,"217,500","1,500",+0.69%,500,"103,040","47,375",48.36,"36,136",10.84,4.96,
41,고려아연,"536,000","3,000",+0.56%,"5,000","101,143","18,870",20.44,"35,905",15.69,8.37,
42,한국조선해양,"134,500","1,500",+1.13%,"5,000","95,190","70,773",17.43,"183,041",-10.30,-7.42,
43,SK바이오팜,"120,500",500,+0.42%,500,"94,367","78,313",6.82,"85,653",-174.89,-135.18,
44,롯데케미칼,"265,500","4,500",-1.67%,"5,000","91,001","34,275",26.99,"88,673",12.26,1.22,
45,KT,"34,000",200,+0.59%,"5,000","88,778","261,112",44.27,"482,404",11.80,4.76,
46,한온시스템,"15,800",50,+0.32%,100,"84,340","533,800",17.98,"404,758",62.45,5.09,
47,LG디스플레이,"22,500",400,-1.75%,"5,000","80,509","357,816",18.56,"2,558,198",23.83,-0.79,
48,한화솔루션,"42,050",300,+0.72%,"5,000","80,433","191,278",17.04,"366,744",11.27,5.30,
49,우리금융지주,"11,100",0,0.00%,"5,000","80,172","722,268",27.98,"1,660,902",5.51,5.87,
50,기업은행,"10,400",50,+0.48%,"5,000","77,407","744,301",12.93,"254,480",5.09,6.44,
51,현대글로비스,"200,500","1,500",+0.75%,500,"75,188","37,500",34.92,"41,417",13.07,12.45,
52,CJ제일제당,"475,500","11,500",+2.48%,"5,000","71,583","15,054",25.03,"26,178",19.13,13.50,
53,현대제철,"53,200",900,-1.66%,"5,000","70,993","133,446",20.32,"457,685",-67.77,-2.59,
54,LG유플러스,"15,050",100,+0.67%,"5,000","65,710","436,611",33.31,"435,780",12.68,6.46,
55,코웨이,"86,700",900,+1.05%,500,"63,984","73,800",59.52,"94,959",14.91,31.51,
56,금호석유,"208,500","3,000",-1.42%,"5,000","63,525","30,468",22.31,"112,814",7.50,20.18,
57,현대건설,"55,100",300,-0.54%,"5,000","61,357","111,356",21.07,"312,854",49.82,1.84,
58,한국타이어앤테크놀로지,"48,950",50,+0.10%,500,"60,637","123,875",41.74,"73,278",13.49,5.12,
59,SKC,"159,500",0,0.00%,"5,000","60,400","37,868",13.32,"91,870","-2,531.75",2.21,
60,미래에셋증권,"9,150",80,+0.88%,"5,000","58,131","635,316",14.02,"534,022",7.29,8.94,
61,에스디바이오센서,"55,900",500,-0.89%,500,"57,729","103,271",1.78,"559,354",8.47,139.97,
62,강원랜드,"26,350",400,+1.54%,500,"56,373","213,940",18.87,"314,027",-35.09,-7.92,
63,현대중공업지주,"69,500",600,+0.87%,"1,000","54,900","78,993",17.26,"48,206",-24.28,-8.12,
64,한국금융지주,"97,500",600,-0.61%,"5,000","54,333","55,726",34.38,"193,956",4.36,16.27,
65,LG이노텍,"224,500","1,000",-0.44%,"5,000","53,133","23,667",31.14,"76,078",13.06,10.20,
66,한미사이언스,"74,700","1,100",+1.49%,500,"50,277","67,305",1.69,"56,363",181.75,3.47,
67,아모레G,"58,500","1,500",-2.50%,500,"48,238","82,458",17.53,"162,420",114.71,0.31,
68,이마트,"171,000","1,500",+0.88%,"5,000","47,668","27,876",33.28,"132,169",11.79,4.05,
69,오리온,"119,000","2,000",+1.71%,500,"47,048","39,536",38.76,"29,016",17.68,15.50,
